private line number,public line number,route Name,number of travelers in 2021,attraction_by_bus,distance(m),jan avg day,jan avg night,february avg day,february avg night,march avg day,march avg night,april avg day,april avg night,may avg day,may avg night,june avg day,june avg night,july avg day,july avg night,august avg day,august avg night,september avg day,september avg night,october avg day,october avg night,november avg day,november avg night,decmber avg day,decmber avg night
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350331,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350332,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350333,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350334,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350335,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350336,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350337,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350338,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350339,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350340,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350341,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350342,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350343,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350344,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
1,1,PLAZA DE CRISTO REY - PROSPERIDAD,1350345,,0,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
17,17,PLAZA MAYOR - COLONIA PARQUE DE EUROPA,3724626,Plaza Mayor,17,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
18,18,PLAZA MAYOR - VILLAVERDE CRUCE,1286988,Plaza Mayor,280,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
19,19,PLAZA DE CATALU√ëA - PLAZA DE LEGAZPI,3530329,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
20,20,PUERTA DEL SOL/SEVILLA - PAVONES,2718142,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
21,21,PASEO DEL PINTOR ROSALES - BARRIO EL SALVADOR,4166649,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
22,22,PLAZA DE LEGAZPI - VILLAVERDE ALTO,1492295,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
23,23,PLAZA MAYOR - VILLAVERDE CRUCE,3517989,Plaza Mayor,350,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
24,24,ESTACION DE ATOCHA - POZO DEL TIO RAIMUNDO,2460444,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
25,25,PLAZA DE ESPA√ëA - CASA DE CAMPO,2577080,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
26,26,PLAZA DE TIRSO DE MOLINA - DIEGO DE LEON,1668912,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
27,27,GLORIETA DE EMBAJADORES - PLAZA DE CASTILLA,4795961,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
28,28,PUERTA DE ALCALA - BARRIO DE CANILLEJAS,4260501,Puerta de Alcalá,120,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
29,29,AVENIDA DE FELIPE II - MANOTERAS,1883983,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
30,30,AVENIDA DE FELIPE II - PAVONES,2714567,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
31,31,PLAZA MAYOR - ALUCHE,4291638,Plaza Mayor,110,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
32,32,PLAZA DE JACINTO BENAVENTE - PAVONES,3207525,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
33,33,PRINCIPE PIO - CASA DE CAMPO,215746,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
34,34,PLAZA DE CIBELES - LAS AGUILAS,6650128,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
35,35,PLAZA MAYOR - CARABANCHEL ALTO,4082523,Plaza Mayor,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
36,36,ATOCHA - CAMPAMENTO,1331346,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
37,37,GLORIETA DE CUATRO CAMINOS - PUENTE DE VALLECAS,1225104,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
38,38,PLAZA DE MANUEL BECERRA - LAS ROSAS,3521870,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
39,39,PLAZA DE ESPA√ëA - COLONIA SAN IGNACIO DE LOYOLA,2125006,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
40,40,TRIBUNAL - ALFONSO XIII,1113780,Museo del Romanticismo,120,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
41,41,ATOCHA - COLONIA MANZANARES,704882,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
42,42,PLAZA DE CASTILLA - BARRIO DE PE√ëAGRANDE,1396255,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
43,43,AVENIDA DE FELIPE II - ESTRECHO,1274543,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
44,44,PLAZA DEL CALLAO - MARQUES DE VIANA,1821372,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
45,45,PLAZA DE LEGAZPI - AVENIDA REINA VICTORIA,2239273,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
46,46,PUERTA DEL SOL/SEVILLA - MONCLOA,1624191,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
47,47,ATOCHA - CARABANCHEL ALTO,2199244,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
48,48,PLAZA DE MANUEL BECERRA - BARRIO DE CANILLEJAS,1811723,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
49,49,PLAZA DE CASTILLA - PITIS,3590665,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
50,50,PLAZA MAYOR - AVENIDA DEL MANZANARES,678411,Plaza Mayor,240,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
51,51,PUERTA DEL SOL/SEVILLA - PLAZA DEL PERU,740558,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
52,52,PUERTA DEL SOL/SEVILLA - SANTAMARCA,899353,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
53,53,PUERTA DEL SOL/SEVILLA - ARTURO SORIA,1970494,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
54,54,ESTACION DE ATOCHA - CONGOSTO,2128787,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
55,55,ATOCHA - BATAN,2349014,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
56,56,DIEGO DE LEON - PUENTE DE VALLECAS,2670271,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
57,57,ESTACION DE ATOCHA - ALTO DEL ARENAL,1618303,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
58,58,PUENTE VALLECAS - BARRIO DE SANTA EUGENIA,1914629,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
59,59,ESTACION DE ATOCHA - COLONIA SAN CRISTOBAL DE LOS ANGELES,1034077,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
60,60,PLAZA DE LA CEBADA - ORCASITAS,3181314,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
61,61,MONCLOA - NARVAEZ,2625112,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
62,62,PLAZA DE CRISTO REY - LOS PUERTOS,1350080,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
63,63,AVENIDA DE FELIPE II - BARRIO DE SANTA EUGENIA,1660996,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
64,64,GLORIETA DE CUATRO CAMINOS - PITIS,1467721,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
65,65,PLAZA DE JACINTO BENAVENTE - COLONIA GRAN CAPITAN,1742401,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
66,66,GLORIETA DE CUATRO CAMINOS - FUENCARRAL,2044998,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
67,67,PLAZA DE CASTILLA - BARRIO DE PE√ëAGRANDE,1373504,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
68,C1,CIRCULAR 1 -,4434154,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
69,C2,CIRCULAR 2 -,4483508,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
70,70,PLAZA DE CASTILLA - ALSACIA,5228237,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
71,71,PLAZA DE MANUEL BECERRA - PUERTA DE ARGANDA,1365402,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
72,72,DIEGO DE LEON - HORTALEZA,917251,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
73,73,DIEGO DE LEON - FERIA DE MADRID,1213516,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
74,74,PASEO DEL PINTOR ROSALES - PARQUE DE LAS AVENIDAS,867078,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
75,75,PLAZA DEL CALLAO - COLONIA MANZANARES,793780,Pl. del Callao,110,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
76,76,PLAZA BEATA MARIA ANA DE JESUS - VILLAVERDE ALTO,639810,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
77,77,PLAZA DE CIUDAD LINEAL - COLONIA FIN DE SEMANA,2604471,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
78,78,GLORIETA DE EMBAJADORES - BARRIO DE SAN FERMIN,1437925,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
79,79,PLAZA DE LEGAZPI - VILLAVERDE ALTO,958153,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
81,81,OPORTO - HOSPITAL 12 DE OCTUBRE,1204530,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
82,82,MONCLOA - PITIS,1388220,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
83,83,MONCLOA - BARRIO DEL PILAR,1587783,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
85,85,ESTACION DE ATOCHA - BUTARQUE,3004936,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
86,86,ESTACION DE ATOCHA - VILLAVERDE ALTO,1334665,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
87,87,PLAZA DE LA REPUBLICA DOMINICANA - LAS CARCAVAS,841791,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
90,E,PLAZA DEL CONDE DE CASAL - SIERRA DE GUADALUPE,200856,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
91,F,GLORIETA DE CUATRO CAMINOS - CIUDAD UNIVERSITARIA,403006,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
92,G,MONCLOA - CIUDAD UNIVERSITARIA,867226,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
93,A,MONCLOA - CAMPUS SOMOSAGUAS,913004,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
96,H,ALUCHE - CAMPUS DE SOMOSAGUAS,314431,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
99,U,AVENIDA DE SENECA - PARANINFO,254484,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
100,100,MORATALAZ - VALDERRIVAS,478008,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
101,101,CANILLEJAS - AEROPUERTO-BARAJAS,117329,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
102,102,ESTACION DE ATOCHA - ESTACION EL POZO,2344026,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
103,103,ESTACION EL POZO - ECOBULEVAR,2010673,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
104,104,PLAZA DE CIUDAD LINEAL - MAR DE CRISTAL,874476,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
105,105,PLAZA DE CIUDAD LINEAL - BARAJAS,716506,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
106,106,PLAZA DE MANUEL BECERRA - VICALVARO,1690634,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
107,107,PLAZA DE CASTILLA - HORTALEZA,729235,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
108,108,OPORTO - CEMENTERIO DE CARABANCHEL,540267,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
109,109,PLAZA DE CIUDAD LINEAL - CASTILLO DE UCLES,557317,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
110,110,PLAZA DE MANUEL BECERRA - CEMENTERIO DE LA ALMUDENA,173774,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
111,111,PUENTE VALLECAS - ENTREVIAS,1269470,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
112,112,MAR DE CRISTAL - BARRIO DEL AEROPUERTO,624150,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
113,113,MENDEZ ALVARO - PLAZA DE CIUDAD LINEAL,3034343,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
114,114,AVENIDA DE AMERICA - BARRIO DEL AEROPUERTO,1103173,Dirección General de Tráfico (DGT),600,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
115,115,AVENIDA DE AMERICA - BARAJAS,1845479,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
116,116,GLORIETA DE EMBAJADORES - VILLAVERDE CRUCE,1488621,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
117,117,ALUCHE - COLONIA SAN IGNACIO DE LOYOLA,0,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
118,118,GLORIETA DE EMBAJADORES - AVENIDA DE LA PESETA,3123260,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
119,119,ATOCHA - BARRIO DE GOYA,1335673,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
120,120,PLAZA DE LIMA - HORTALEZA,1194286,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
121,121,CAMPAMENTO - HOSPITAL 12 DE OCTUBRE,1838745,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
122,122,AVENIDA DE AMERICA - FERIA DE MADRID,1115154,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
123,123,PLAZA DE LEGAZPI - BUTARQUE,1172025,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
124,124,GLORIETA DE CUATRO CAMINOS - LACOMA,2769327,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
125,125,MAR DE CRISTAL - HOSPITAL RAMON Y CAJAL,1139525,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
126,126,NUEVOS MINISTERIOS - BARRIO DEL PILAR,1337038,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
127,127,GLORIETA DE CUATRO CAMINOS - CIUDAD DE LOS PERIODISTAS,1302557,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
128,128,GLORIETA DE CUATRO CAMINOS - BARRIO DEL PILAR,2466576,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
129,129,PLAZA DE CASTILLA - MANOTERAS,442030,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
130,130,VILLAVERDE ALTO - VICALVARO,1861978,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
131,131,CAMPAMENTO - VILLAVERDE ALTO,1574791,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
132,132,MONCLOA - HOSPITAL LA PAZ,2696985,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
133,133,PLAZA DEL CALLAO - MIRASIERRA,2458007,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
134,134,PLAZA DE CASTILLA|VAGUADA - MONTECARMELO,1347729,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
135,135,PLAZA DE CASTILLA - HOSPITAL RAMON Y CAJAL,488344,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
136,136,PACIFICO - MADRID SUR,1583099,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
137,137,CIUDAD PUERTA DE HIERRO - FUENCARRAL,1335338,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
138,138,PLAZA DE CRISTO REY - COLONIA SAN IGNACIO DE LOYOLA,3748312,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
139,139,DEHESA DEL PRINCIPE - CARABANCHEL ALTO,855725,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
