private_line_number,public_line_number,route_Name,number_of_travelers_2021,attraction_by_bus,distance(m),jan avg day,jan avg night,february avg day,february avg night,march avg day,march avg night,april avg day,april avg night,may avg day,may avg night,june avg day,june avg night,july avg day,july avg night,august avg day,august avg night,september avg day,september avg night,october avg day,october avg night,november avg day,november avg night,decmber avg day,decmber avg night,Walkable(yes/no)
17,17,PLAZA MAYOR - COLONIA PARQUE DE EUROPA,3724626,Plaza Mayor,17,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
18,18,PLAZA MAYOR - VILLAVERDE CRUCE,1286988,Plaza Mayor,280,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
23,23,PLAZA MAYOR - VILLAVERDE CRUCE,3517989,Plaza Mayor,350,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
28,28,PUERTA DE ALCALA - BARRIO DE CANILLEJAS,4260501,Puerta de Alcalá,120,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
31,31,PLAZA MAYOR - ALUCHE,4291638,Plaza Mayor,110,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
40,40,TRIBUNAL - ALFONSO XIII,1113780,Museo del Romanticismo,120,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
50,50,PLAZA MAYOR - AVENIDA DEL MANZANARES,678411,Plaza Mayor,240,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
75,75,PLAZA DEL CALLAO - COLONIA MANZANARES,793780,Pl. del Callao,110,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
114,114,AVENIDA DE AMERICA - BARRIO DEL AEROPUERTO,1103173,Dirección General de Tráfico (DGT),600,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
149,149,TRIBUNAL - PLAZA DE CASTILLA,1039456,Museo del Romanticismo,120,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
361,001,ESTACION DE ATOCHA - MONCLOA,1793357,Car Rental Madrid - Atocha - Train Station,600,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
702,SE,PLAZA ELIPTICA - CEMENTERIO SUR,23861,Pl. Elíptica,60,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
751,SE,ALAMEDA DE OSUNA - CANILLEJAS,0,Jardin El Capricho,400,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
788,SE,ATOCHA RENFE - RECOLETOS,0,Museo de Cera,270,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,
797,SE,ALAMEDA DE OSUNA - TORRE ARIAS,0,Jardín El Capricho de la Alameda de Osuna,450,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5,