attraction_by_bus,latitude,longitude,StationName,Station_Latitude,Station_Longitude,Distance_to_Attraction
Noor Islaic Bank Bus Station,25.15552,55.228526,Noor Bank Metro Station,25.15552,55.228526,0
Equity Metro Stop South 1,25.12587953,55.20697822,FGB Metro Station,25.126626,55.207849,120.6199252
Sharaf DG Metro Bus Station 2-1,25.25753964,55.29656377,Sharaf DG Metro Station,25.258248,55.297215,102.2808629
Dubai Internet City Metro Station,25.102007,55.173651,Dubai Internet City Metro Station,25.102007,55.173651,0
Dubai Internet City,25.092487,55.160545,Nakheel Metro Station,25.088779,55.157992,484.8104511
Sobha Realty Metro Station,25.079911,55.147406,DAMAC Properties Metro Station,25.079911,55.147406,0
Caffe Nero,25.069029,55.141087,Jueirah Lakes Towers Metro Station,25.071063,55.138856,318.4851557
Jebel Ali Metro Bus Station South,25.05745368,55.12744971,Nakheel Harbour & Tower Metro Station,25.057963,55.127202,61.70792809
Caffe Nero,25.069029,55.141087,Energy Metro Station,25.071063,55.138856,318.4851557
Caffe Neros,25.069029,55.141087,Danube Metro Station,25.071063,55.138856,318.4851557
Dubai Internet City,25.092487,55.160545,UAE Exchange Metro Station,25.088779,55.157992,484.8104511
Etisalat Bus Station 4,25.255996,55.40169,Etisalat Metro Station,25.254689,55.400951,162.8039465
Al Qusais Metro Bus Station 2,25.26332478,55.38629533,Al Qusais Metro Station,25.262679,55.387485,139.5683507
Dubai Airport Free Zone Metro Bus Station 2,25.26960959,55.37543712,Dubai Airport Free Zone Metro Station,25.269841,55.375127,40.40986215
Ministry of Inforation Bus Stop,25.275275,55.366569,Al Nahda Metro Station,25.273348,55.369202,340.4464271
Caffe Nero,25.069029,55.141087,Stadiu Metro Station,25.071063,55.138856,318.4851557
Hor Al Anz RTA Bus Station,25.275339,55.348337,Al Qiyadah Metro Station,25.27797,55.351709,447.5480757
Abu Hail Metro Bus Station B,25.2751202,55.3460798,Abu Hail Metro Station,25.239974,55.35041,3917.742268
The Center 2 Bus Stop,25.273301,55.329706,Abu Baker Al Siddique Metro Station,25.270468,55.332685,434.1993332
Salah Al Din Metro Bus Stop 1,25.270214,55.319707,Salah Al Din Metro Station,25.270097,55.320969,127.7780632
Union Metro Bus Station 1-2,25.26661419,55.31537455,Union (Green Line) Metro Station,25.057963,55.127202,29901.96797
Baniyas Metro Station,25.26924197,55.30708746,Baniyas Square Metro Station,25.269653,55.308185,119.5633203
School Bus Stop JBR,25.081268,55.137876,Pal Deira Metro Station,25.083857,55.136322,326.8458245
Nakhal Bus Stop 12,25.267516,55.292585,Al Ras Metro Station,25.268588,55.293773,168.5896635
Al Habtoor Bus Stop,25.114661,55.192301,Al Fahidi Metro Station,25.114683,55.190859,145.4550483
Big Bus Dubai,25.254791,55.304274,BurJuan Metro Station,25.25495,55.304846,60.25556764
Al Jaddaf Metro Bus Station A2,25.22254233,55.33509909,Al Jadaf Metro Station,25.225067,55.333701,313.1526157
Creek Metro Bus Stop C04,25.218868,55.338844,Creek Metro Station,25.219085,55.33893,25.55288531
Rashidiya Bus Station,25.229408,55.391202,Rashidiya Metro Station,25.230306,55.39116,99.56711386
Bus Bay 21 for Turn Arounds,25.241738,55.366378,Eirates Metro Station,25.240962,55.365556,119.3666871
Teral 1,25.249243,55.353032,Airport Teral 3 Metro Station,25.248539,55.352285,108.3769382
Teral 1,25.249243,55.353032,Airport Teral 1 Metro Station,25.248539,55.352285,108.3769382
Garhoud Crew Bus,25.246009,55.341023,GGICO Metro Station,25.249502,55.340271,394.2897457
Ritz-Carlton Hotel 1 Bus Stop,25.081284,55.140747,Deira City Centre Metro Station,25.079443,55.143181,319.1951269
Al Maktou Rd. Bus Station,25.259921,55.321072,Al Rigga Metro Station,25.263333,55.323999,479.3740012
ADCB Metro Station,25.244564,55.29826,ADCB Metro Station,25.244564,55.29826,0
Max Metro Station,25.233307,55.292076,Al Jafiliya Metro Station,25.233578,55.292087,30.04085022
Dubai World Trade Centre,25.224415,55.287566,World Trade Centre Metro Station,25.224806,55.284913,270.8177842
Museum of the Future Bus Station,25.21836015,55.28101583,Eirates Towers Metro Station,25.217315,55.27979,169.3038106
Etihad bus stop,25.211945,55.273622,Financial Centre Metro Station,25.210973,55.27566,231.8961821
Burj Khalifa / Dubai Mall Metro Station,25.201473,55.269645,Burj Khalifa/ Dubai Mall Metro Station,25.201473,55.269645,0
Business Bay Metro Bus Stop,25.191275,55.260399,Business Bay Metro Station,25.191182,55.260356,11.17670298
Mall of the Eirates Bus Station,25.120062,55.199461,Mall of the Eirates Metro Station,25.121276,55.200558,174.1403004
Noor Islaic Bank Bus Station,25.155613,55.228569,Ibn Battuta Metro Station,25.155613,55.228569,0
Al Ghubaiba Metro Station,25.265217,55.288796,Al Ghubaiba Metro Station,25.265217,55.288796,0
Dubai Healthcare City Metro Bus Station 1,25.23083076,55.3230326,Dubai Healthcare City Metro Station,25.23037,55.322827,55.08525325
Al Rashidiya Bus Station 1 Parking,25.22912857,55.39225255,Rashidiya Depot,25.224166,55.377485,1586.338233
Al Mawakeb School Bus Stop,25.106338,55.201675,Union Metro Station,25.104736,55.203227,236.6372865
Big Bus Dubai,25.254791,55.304274,BurJuan Metro Station,25.25495,55.304846,60.25556764